file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP3,0.0,30.7068125,data,-47.37645514490394,,,17.077169860901883
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,data,-50.33140705541237,,,16.544787180653387
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,data,-48.83677455357143,,,18.570565924345264
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,data,-49.19709635416667,,,18.31419680362643
F2BJRLP1,0.0,25.309125,data,-47.08815376827341,,,13.751338867851066
F2BJRLP2,0.0,28.6474375,data,-46.7470222513089,,,12.935279513423461
