file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-49.21630208333333,,,18.31419680362643
F2BJRLP3,0.0,30.7068125,corpus,-47.37503561543471,,,17.079972770741364
F2BJRLP2,0.0,28.6474375,corpus,-46.74432264397906,,,12.941598363502061
F2BJRLP1,0.0,25.309125,corpus,-48.61284756519162,,,13.777234077662614
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-50.325512443621136,,,16.544787180653387
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-48.87544453692494,,,18.570565924345264
